X	Feature Profile 1
11193.3503786	606
11235.8735177	608
11278.3967982	607
11308.4652982	605
11338.5337982	603
11368.6021982	603
11398.6706982	604
11428.7391982	604
11471.2624787	605
11513.7856885	606
11556.3088983	607
11598.8321788	606
11628.9006788	605
11658.9690788	603
11701.4923593	604
11744.0155691	601
11774.0840691	599
11816.6072789	599
11859.1304887	599
11901.6537692	603
11944.1770497	601
11986.7002594	599
12016.7687594	598
12046.8372594	598
12089.3604692	597
12119.4288692	596
12149.4973692	597
12192.020579	594
12222.089079	593
12252.157579	593
12282.225979	592
12312.294479	591
12342.362979	590
12372.431479	590
12402.499979	589
12432.568479	589
12462.636879	589
12492.705379	588
12522.773879	589
12565.2971595	587
12595.3655595	587
12625.4340595	589
12667.95734	589
12698.02584	587
12728.09424	587
12758.16274	586
12788.23124	584
12830.7545205	580
12873.2777303	584
12915.8010108	585
12945.8695108	586
12988.3927913	582
13030.9160011	583
13073.4392109	587
13115.9624914	584
13146.0309914	584
13176.0994914	583
13218.6227012	578
13248.6912012	578
13291.214411	578
13321.282911	576
13351.351411	575
13393.8746208	575
13436.3979013	576
13466.4663013	576
13508.9895818	576
13551.5128623	573
13581.5813623	571
13611.6497623	568
13641.7182623	567
13671.7867623	567
13714.3099721	567
13756.8331818	568
13799.3564623	569
13841.8797428	567
13871.9482428	563
13902.0166428	563
13932.0851428	564
13962.1536428	561
13992.2221428	561
14034.7453526	562
14064.8138526	562
14094.8823526	562
14137.4056331	562
14167.4741331	562
14209.9973429	561
14240.0657429	561
14270.1342429	561
14300.2027429	561
14330.2712429	559
14360.3396429	559
14390.4081429	560
14420.4766429	561
14450.5451429	561
14480.6135429	561
14510.6820429	561
14553.2053234	561
14583.2738234	561
14625.7970332	561
14655.8655332	561
14685.9340332	559
14716.0025332	557
14746.0710332	555
14776.1395332	555
14806.2079332	557
14848.731143	557
14878.799643	558
14921.3229235	556
14963.846204	556
15006.3694138	555
15036.4379138	554
15066.5063138	554
15096.5748138	554
15126.6433138	556
15169.1665943	556
15199.2349943	556
15229.3034943	556
15271.8267748	556
15301.8952748	554
15331.9636748	550
15374.4869553	554
15417.0101651	556
15447.0786651	555
15489.6018749	555
15532.1251554	555
15574.6484359	556
15617.1716457	556
15647.2401457	552
15677.3086457	550
15707.3771457	549
15737.4455457	552
15767.5140457	553
15797.5825457	552
15827.6510457	550
15857.7194457	549
15887.7879457	550
15917.8564457	553
15947.9249457	554
15977.9933457	554
16020.5165555	555
16063.039836	555
16093.108336	556
16135.6316165	553
16165.7001165	552
16195.7685165	550
16238.291797	549
16280.8150067	552
16323.3382872	551
16353.4066872	551
16383.4751872	552
16413.5436872	552
16443.6121872	551
16486.135397	552
16528.6586068	552
16558.7271068	552
16601.2503166	550
16631.3187166	549
16661.3872166	550
16691.4557166	550
16721.5242166	549
16751.5927166	549
16781.6612166	549
16824.1844264	549
16866.7076362	546
16896.7761362	545
16926.8446362	545
16956.9131362	545
16986.9815362	547
17017.0500362	546
17059.5733167	546
17102.0965972	546
17144.6197363	542
17174.6882363	545
17204.7567363	546
17234.8252363	546
17264.8936363	546
17307.4168461	545
17337.4853461	545
17380.0085559	545
17410.0770559	545
17440.1454559	545
17470.2139559	545
17512.7371656	542
17542.8056656	542
17572.8740656	542
17602.9425656	542
17633.0110656	543
17675.5342754	544
17718.0574852	542
17760.5807657	540
17803.1040462	542
17833.1725462	543
17875.695756	540
17918.2189658	542
17960.7422463	543
17990.8107463	542
18020.8792463	541
18050.9476463	540
18081.0161463	539
18111.0846463	539
18141.1531463	541
18183.6763561	540
18226.1995659	543
18268.7228464	540
18298.7913464	539
18328.8597464	540
18358.9282464	540
18401.4515269	538
18431.5200269	537
18474.0432367	537
18516.5665172	537
18559.0897977	537
18589.1581977	536
18631.6814782	535
18674.2047587	537
18716.7279685	536
18759.251249	537
18801.7744588	537
18844.2977393	537
18874.3661392	537
18904.4346393	536
18934.5031392	536
18964.5716393	536
18994.6400393	534
19037.1633198	535
19079.6866003	534
19122.20981	533
19164.7330198	534
19194.8015198	535
19224.8700198	535
19267.3933003	534
19297.4617003	534
19327.5302003	532
19357.5987003	532
19387.6672003	534
19430.1904808	532
19460.2588808	535
19502.7820906	533
19532.8505906	534
19562.9190906	535
19605.4422297	535
19647.9655102	532
19678.0340102	532
19720.5572907	532
19750.6256907	531
19780.6941907	531
19810.7626907	530
19840.8311907	531
19883.3543298	533
19913.4228298	532
19943.4913298	531
19973.5598298	531
20016.0830396	530
20058.6063201	530
20101.1296006	532
20143.6528104	530
20173.7213104	527
20216.2445201	527
20258.7678006	528
20288.8363006	528
20318.9047006	528
20348.9732006	527
20379.0417006	526
20409.1102006	526
20439.1786006	526
20469.2471006	528
20499.3156006	529
20529.3841006	528
20571.9073811	528
20601.9757811	528
20644.4989909	528
20687.0222714	527
20717.0907714	526
20759.6140519	525
20789.6825519	524
20819.7509519	524
20849.8194519	523
20879.8879519	524
20922.4111617	524
20952.4795617	524
20995.0028422	526
21025.0713422	526
21055.1398422	525
21097.663052	526
21140.1862618	524
21170.2547618	524
21200.3232618	523
21230.3916618	523
21260.4601618	524
21290.5286618	524
21320.5971618	523
21350.6656618	523
21393.1888009	522
21423.2573009	524
21465.7805107	524
21508.3037912	524
21550.827001	523
21593.3502815	521
21623.4187815	522
21653.4871815	522
21683.5556815	523
21726.078962	524
21768.6022425	524
21811.1253815	524
21853.648662	523
21883.717162	523
21926.2404425	523
21956.3089425	523
21986.3773425	523
22016.4458425	523
22046.5143425	521
22076.5827425	522
22119.106023	521
22161.6293035	522
22191.6978035	521
22221.7662035	520
22264.289484	520
22306.8127645	519
22349.336045	520
22391.8592548	519
22421.9277548	518
22451.9961548	519
22482.0646548	519
22512.1331548	519
22542.2016548	518
22572.2701548	518
22602.3385548	516
22632.4070548	514
22662.4755548	514
22692.5440548	518
22735.0672646	520
22777.5905451	520
22820.1138256	518
22862.6371061	518
22892.7055061	518
22922.7740061	517
22952.8425061	513
22982.9110061	512
23012.9794061	513
23043.0479061	515
23073.1164061	514
23103.1849061	511
23133.2533061	510
23163.3218061	514
23193.3903061	516
23223.4588061	517
23253.5272061	517
23283.5957061	515
23326.1189159	512
23368.6421964	517
23411.1654769	516
23441.2339769	518
23471.3023769	515
23501.3708769	512
23531.4393769	511
23561.5078769	512
23604.031016	510
23646.5542965	514
23689.077577	517
23731.6008575	518
23774.1239966	518
23804.1924966	514
23834.2609966	515
23864.3294966	516
23906.8527064	517
23949.3759869	516
23979.4444869	514
24009.5129869	511
24052.0361967	512
24094.5594772	515
24137.0826869	517
24179.6059674	518
24222.1291772	517
24252.1976772	514
24294.720887	514
24337.2441675	514
24367.3126675	506
24397.3811675	503
24439.9043773	506
24482.4276578	513
24524.9508676	514
24567.4741481	514
24597.5426481	514
24627.6111481	514
24657.6795481	513
24687.7480481	510
24717.8165481	511
24747.8850481	512
24777.9534481	511
24808.0219481	508
24838.0904481	510
24868.1589481	510
24898.2273481	509
24928.2958481	511
24958.3643481	514
24988.4328481	514
