id,Longitude,Latitude
193,82.68,21.36
194,82.68,21.6
195,82.68,21.84
196,82.68,22.8
203,82.8,22.92
204,82.8,23.04
210,82.92,21.6
211,82.92,22.56
220,83.04,22.44
223,83.16,21.36
228,83.28,22.44
235,83.4,22.8
242,83.52,22.8
246,83.64,22.92
250,83.76,22.68
256,83.88,23.04
263,84,22.2
264,84,22.32
269,84.12,22.8
279,84.36,21.72
176,82.44,20.52
177,82.44,21.84
182,82.56,21
183,82.56,21.48
166,82.08,22.56
175,82.32,22.68
178,82.44,22.32
179,82.44,22.44
180,82.44,22.68
181,82.44,23.04
184,82.56,22.68
185,82.56,22.92
186,82.56,23.16
86,80.64,21.12
94,80.76,20.64
95,80.76,21.36
98,80.88,21.36
99,80.88,21.48
100,80.88,21.72
103,81,20.52
104,81,20.76
105,81,21
106,81,21.24
107,81,21.36
108,81,21.6
112,81.12,20.4
113,81.12,21.48
114,81.12,21.6
115,81.12,21.96
118,81.24,20.88
119,81.24,21.24
126,81.36,20.76
127,81.36,21.24
128,81.36,21.48
129,81.36,21.6
134,81.48,20.76
135,81.48,21.84
137,81.6,21.24
138,81.6,21.48
143,81.72,21.12
144,81.72,22.32
146,81.84,20.52
147,81.84,20.64
148,81.84,20.88
149,81.84,21.6
150,81.84,22.08
154,81.96,21.24
155,81.96,21.48
156,81.96,21.84
157,81.96,21.96
158,81.96,22.32
162,82.08,20.4
163,82.08,20.88
164,82.08,21.24
165,82.08,21.48
169,82.2,21.72
173,82.32,21
174,82.32,21.48
117,81.24,20.28
125,81.36,20.16
