21.781,47.328,121.73,59,100.38,38.688,24.453,24.469,46.562,34.75,23.328,14.828,16.961,100.58,34.797,18.109,68.672,28.328,18.008,26.031,111.95,57.25,76.281,27.031,39.969,109.36,77.828,119.84,94.469,57.125
17.648,16.078,35.539,32.094,25.656,21.547,42.172,29.688,11.5,13.594,22.125,22.969,16.141,24.719,13.375,29.438,17.938,16.875,15.328,13.781,47.594,30.016,15.727,14.602,37.125,31.859,47.812,22.781,16.875,42.969
19.781,27.047,67.656,50.109,56.812,31.469,35.406,36.859,16.539,25,50.609,21.594,48.344,52.984,53.531,48.984,32.5,28.75,15.297,17.203,41.328,37.086,82.789,43.078,47.531,63.953,106.06,87.078,38.75,49.062
26.188,55.82,70.906,96.812,22.062,64.484,57.781,45.141,31.156,23.203,54.703,54.844,39.391,22.688,86.266,47.078,76.062,20.5,36.719,83.594,32.688,43.578,59.594,129.67,50.391,116.94,66.453,59.078,27.664,43.156
24.594,23.688,74.344,45.906,107.38,46.391,34.219,19.391,20.234,15.734,60.797,80.25,26.578,20.266,31.844,43.938,50.203,40.531,17.203,18.203,34.547,96.438,94,20.094,42.406,78.688,72.562,41.391,52.719,100.25
24.281,26.172,101,33.203,92.312,50.266,77.469,38.578,21.406,15.781,62.422,71.312,32.844,17.25,47.703,48.109,64.938,35.828,33.391,18.406,56.344,92.844,156.06,30.594,51.859,76.562,78.406,67.188,44.078,91.469
122.73,46,58.156,85.375,101.72,129.23,50.984,71.562,75.031,18.688,60.641,16.062,31.984,169.27,170.06,87.031,142.7,201.58,16.328,51.938,21.891,38.406,72.938,108.06,157.25,44.656,48.719,66.781,44.828,23.984
57.141,37.859,26.25,36.469,133.11,53.453,107.14,131.73,38.859,100.55,30.922,30.938,18.516,58.109,123.64,196.62,179.52,114.81,33.312,28.75,21.531,57.633,77.078,91.086,122.52,78.797,66.734,40.641,35.062,58.656
118.09,44.203,52.906,72.578,64.062,154.34,181.77,108.88,174.97,106.44,56.078,21.328,57.297,68.781,56.758,54.344,176.75,162.2,28.406,44.219,34.688,40.758,52.719,110.66,79.656,75.312,64.375,79,61.828,43.672
129.67,32.922,60.156,81.281,105.41,170.94,161.75,93.219,102.83,106.72,34.016,19.422,65.297,138.14,94.922,56.562,87.938,238.12,22.297,39.859,26.797,29.031,57.047,101.3,66.375,109.72,54.422,59.531,53.875,42.609
139.62,39.594,80.797,80.234,90.734,103.56,90.328,93,61.5,62.891,33.5,30.547,89.594,115.08,168.41,79.484,64.172,236.47,21.469,75.281,24.031,47.688,47.031,159.8,67.734,127.2,45.25,77.625,52.703,59.125
85.312,62.406,82.906,23.234,43.312,94.875,75.234,23.453,55.5,111.86,43.906,43.062,36.953,146.84,38.375,23.141,153.25,127.81,16.219,55.234,24.828,20.109,33.812,83.047,54.656,94.047,29.75,43,52.969,141.53
18.156,46.297,37.172,41.484,44.234,109.41,78,51.203,75.984,39.234,44.703,35.969,52.297,95.453,32.586,30.703,49.688,116.59,13.484,40.891,22.844,34.359,24.141,32.672,62.078,90.562,47.812,70,52.031,68.906
50.828,47.516,50.844,93.062,38.859,122.55,60.5,134.42,186.5,33.312,34.266,46.062,53.234,52.75,87.938,72,173.53,188.53,22.922,83.938,43.344,55.398,90.359,101.64,62.609,128.12,40.719,49.625,93.742,31.859
31.734,34.836,43.688,172.2,50.797,104.05,66.109,109.64,157.66,34.016,25.438,80.953,54.734,89.047,86.898,135.58,92.547,191.28,33.062,78.328,31.094,102.75,64.5,85.531,66.656,181.38,42.109,34.312,43.297,47.938
111.72,61.219,64.375,31.723,37.312,101.97,103.47,43.469,94.844,45.836,37.891,24.859,179.91,23.078,32.656,42.359,126.39,124.3,19.328,138.62,52.75,28.016,33.078,57.844,41.531,100.56,38.188,16.219,64.508,85.391
