id,Longitude,Latitude
"430",82.68,21.6
"431",82.68,23.04
"436",82.8,21.6
"441",83.04,21.36
"442",83.04,22.56
"447",83.16,22.44
"454",83.4,22.8
"458",83.52,22.56
"459",83.52,22.8
"462",83.64,22.92
"463",83.64,23.04
"467",83.76,23.04
"474",83.88,22.2
"416",82.44,20.52
"417",82.44,20.76
"421",82.56,20.76
"422",82.56,21
"423",82.56,21.48
"414",82.32,22.68
"313",80.64,20.76
"327",80.88,21.6
"335",81,21
"336",81,21.24
"344",81.12,20.4
"345",81.12,21.6
"349",81.24,21.24
"350",81.24,22.32
"356",81.36,21.24
"357",81.36,21.48
"363",81.48,20.88
"364",81.48,21.48
"367",81.6,20.64
"368",81.6,21.24
"369",81.6,21.48
"374",81.72,21
"375",81.72,21.36
"376",81.72,22.2
"377",81.72,22.32
"381",81.84,20.76
"382",81.84,21.6
"383",81.84,22.08
"384",81.84,22.32
"391",81.96,21.6
"392",81.96,21.84
"399",82.08,21.36
"406",82.2,20.4
"407",82.2,21.12
"408",82.2,21.72
"412",82.32,20.88
"413",82.32,21
"348",81.24,20.28
"355",81.36,20.16
"390",81.96,20.28
"398",82.08,20.16
