id,Longitude,Latitude
"98",82.68,21.36
"99",82.68,21.84
"100",82.68,21.96
"101",82.8,22.92
"102",82.92,21.48
"104",83.04,21.48
"105",83.16,21.36
"106",83.16,22.68
"107",83.4,21.6
"111",83.76,23.16
"114",84,22.32
"118",84.24,22.08
"119",84.36,21.6
"121",84.48,21.72
"95",82.44,21
"96",82.44,21.48
"91",82.08,23.04
"93",82.2,22.68
"97",82.56,22.68
"46",80.64,21.12
"49",80.76,20.64
"50",80.88,20.88
"51",80.88,21.36
"53",81,21.36
"55",81.12,20.76
"56",81.12,20.88
"57",81.12,21.24
"58",81.12,22.08
"60",81.24,20.88
"61",81.24,21.48
"63",81.36,20.76
"65",81.48,21.12
"66",81.48,21.24
"69",81.6,20.76
"70",81.6,21.12
"71",81.6,21.72
"72",81.6,22.08
"74",81.72,21.72
"75",81.72,21.96
"76",81.84,20.52
"77",81.84,20.88
"78",81.84,21.24
"79",81.84,21.36
"80",81.84,22.44
"81",81.84,22.56
"83",81.96,20.88
"84",81.96,21.24
"85",81.96,21.96
"86",81.96,22.32
"87",81.96,22.56
"89",82.08,20.88
"90",82.08,21.48
"92",82.2,20.88
"94",82.32,21.48
