id,Longitude,Latitude
"702",82.68,21.36
"703",82.68,21.48
"704",82.68,21.72
"705",82.68,21.84
"706",82.68,22.92
"707",82.68,23.04
"717",82.8,21.6
"718",82.8,21.72
"719",82.8,21.96
"720",82.8,23.04
"728",82.92,21.48
"729",82.92,22.08
"730",82.92,22.2
"731",82.92,22.56
"732",82.92,22.68
"733",82.92,22.8
"735",82.92,23.04
"747",83.04,21.36
"748",83.04,21.6
"749",83.04,22.44
"768",83.16,21.36
"769",83.16,21.6
"770",83.16,21.72
"789",83.28,21.6
"790",83.28,21.72
"791",83.28,22.32
"792",83.28,22.44
"807",83.4,21.6
"808",83.4,22.32
"822",83.52,21.6
"823",83.52,22.44
"824",83.52,22.68
"825",83.52,22.8
"841",83.64,22.32
"842",83.64,22.68
"843",83.64,22.92
"854",83.76,22.32
"855",83.76,22.8
"865",83.88,22.68
"866",83.88,22.8
"878",84,22.2
"879",84,22.32
"880",84,22.68
"881",84,22.8
"898",84.12,21.84
"899",84.12,22.56
"900",84.12,22.68
"915",84.36,21.6
"916",84.36,21.72
"936",84.48,21.72
"665",82.44,20.52
"666",82.44,20.64
"667",82.44,20.88
"668",82.44,21.48
"686",82.56,21
"687",82.56,21.72
"688",82.56,21.96
"608",82.08,21.96
"609",82.08,22.44
"610",82.08,22.56
"630",82.2,21.84
"631",82.2,22.08
"632",82.2,22.2
"633",82.2,22.32
"634",82.2,22.44
"635",82.2,23.28
"648",82.32,21.84
"649",82.32,22.32
"650",82.32,22.44
"651",82.32,22.8
"652",82.32,23.16
"653",82.32,23.28
"669",82.44,22.32
"670",82.44,22.56
"671",82.44,22.68
"672",82.44,22.92
"673",82.44,23.16
"674",82.44,23.28
"689",82.56,22.32
"690",82.56,22.56
"691",82.56,22.92
"692",82.56,23.16
"708",82.68,23.16
"343",80.52,20.76
"362",80.64,21
"363",80.64,21.12
"378",80.76,20.64
"379",80.76,20.76
"380",80.76,21.24
"394",80.88,20.76
"395",80.88,21.12
"406",81,20.52
"407",81,20.76
"408",81,21
"409",81,21.12
"410",81,21.24
"411",81,21.48
"412",81,21.6
"413",81,21.84
"428",81.12,20.4
"429",81.12,21
"430",81.12,21.12
"431",81.12,21.36
"432",81.12,21.6
"433",81.12,21.72
"434",81.12,21.84
"435",81.12,21.96
"436",81.12,22.2
"448",81.24,21.12
"449",81.24,21.36
"450",81.24,21.6
"451",81.24,21.84
"452",81.24,21.96
"453",81.24,22.08
"467",81.36,20.76
"468",81.36,21
"469",81.36,21.12
"470",81.36,21.36
"471",81.36,21.6
"472",81.36,21.72
"473",81.36,21.84
"474",81.36,22.08
"475",81.36,22.32
"490",81.48,20.88
"491",81.48,21
"492",81.48,21.36
"493",81.48,21.6
"494",81.48,21.72
"495",81.48,21.84
"496",81.48,22.08
"509",81.6,20.64
"510",81.6,20.76
"511",81.6,20.88
"512",81.6,21
"513",81.6,21.36
"514",81.6,21.48
"515",81.6,21.6
"516",81.6,21.72
"517",81.6,21.84
"518",81.6,22.2
"519",81.6,22.32
"537",81.72,20.64
"538",81.72,20.76
"539",81.72,21
"540",81.72,21.48
"541",81.72,21.6
"542",81.72,22.32
"556",81.84,20.52
"557",81.84,20.64
"558",81.84,20.76
"559",81.84,20.88
"560",81.84,21.12
"561",81.84,21.36
"562",81.84,21.48
"563",81.84,21.6
"564",81.84,22.08
"565",81.84,22.2
"566",81.84,22.32
"567",81.84,22.44
"578",81.96,21.12
"579",81.96,21.24
"580",81.96,21.48
"581",81.96,21.6
"582",81.96,21.84
"583",81.96,21.96
"584",81.96,22.08
"585",81.96,22.2
"586",81.96,22.32
"587",81.96,22.44
"599",82.08,20.52
"600",82.08,20.64
"601",82.08,20.76
"602",82.08,20.88
"603",82.08,21
"604",82.08,21.24
"605",82.08,21.36
"606",82.08,21.48
"607",82.08,21.6
"624",82.2,20.4
"625",82.2,20.88
"626",82.2,21
"627",82.2,21.12
"628",82.2,21.48
"629",82.2,21.72
"645",82.32,20.4
"646",82.32,20.76
"647",82.32,21.48
"447",81.24,20.28
"598",82.08,20.28
