id,Longitude,Latitude
"491",82.68,21.6
"492",82.68,22.8
"496",82.8,21.84
"497",82.8,22.8
"498",82.8,22.92
"509",83.16,21.24
"510",83.16,22.68
"519",83.4,22.8
"520",83.4,23.04
"526",83.52,22.92
"529",83.64,22.8
"535",83.76,22.68
"536",83.76,23.04
"542",83.88,23.04
"480",82.44,21.36
"481",82.44,21.84
"484",82.56,20.88
"485",82.56,21.48
"457",82.08,23.04
"463",82.2,22.56
"464",82.2,22.68
"465",82.2,22.8
"473",82.32,22.56
"474",82.32,22.68
"475",82.32,22.92
"476",82.32,23.4
"482",82.44,22.44
"486",82.56,22.68
"343",80.64,20.52
"344",80.64,20.76
"351",80.76,21.12
"352",80.76,21.36
"361",80.88,20.88
"362",80.88,21.36
"363",80.88,21.48
"364",80.88,21.72
"373",81,21.36
"374",81,21.96
"379",81.12,20.52
"380",81.12,20.76
"381",81.12,21.24
"382",81.12,21.48
"383",81.12,22.08
"384",81.12,22.32
"389",81.24,20.4
"390",81.24,20.88
"391",81.24,21.24
"392",81.24,21.48
"393",81.24,22.32
"400",81.36,20.88
"401",81.36,21.24
"402",81.36,21.48
"407",81.48,20.52
"408",81.48,20.64
"409",81.48,20.76
"410",81.48,21.48
"417",81.6,21.24
"418",81.6,21.96
"419",81.6,22.08
"427",81.72,20.52
"428",81.72,21.12
"429",81.72,21.36
"430",81.72,22.08
"431",81.72,22.2
"439",81.84,21.24
"440",81.84,22.56
"447",81.96,20.88
"448",81.96,21.36
"449",81.96,22.56
"462",82.2,21.36
"470",82.32,20.88
"471",82.32,21
"472",82.32,21.36
"398",81.36,20.16
"399",81.36,20.28
