id,Longitude,Latitude
429,82.68,22.08
430,82.68,22.2
431,82.68,22.32
432,82.68,22.44
433,82.68,22.56
434,82.68,22.68
454,82.8,22.08
455,82.8,22.2
456,82.8,22.32
457,82.8,22.44
458,82.8,22.56
459,82.8,22.68
477,82.92,21.72
478,82.92,21.84
479,82.92,21.96
480,82.92,22.32
496,83.04,21.48
497,83.04,21.72
498,83.04,21.84
499,83.04,21.96
500,83.04,22.08
501,83.04,22.2
502,83.04,22.32
518,83.16,21.48
519,83.16,21.84
520,83.16,21.96
521,83.16,22.08
522,83.16,22.2
523,83.16,22.32
524,83.16,22.44
525,83.16,22.56
542,83.28,21.48
543,83.28,21.84
544,83.28,21.96
545,83.28,22.08
546,83.28,22.2
547,83.28,22.56
548,83.28,22.68
567,83.4,21.72
568,83.4,21.84
569,83.4,21.96
570,83.4,22.08
571,83.4,22.2
572,83.4,22.44
573,83.4,22.56
574,83.4,22.68
592,83.52,21.72
593,83.52,21.84
594,83.52,21.96
595,83.52,22.08
596,83.52,22.2
597,83.52,22.32
598,83.52,22.56
621,83.64,21.6
622,83.64,21.72
623,83.64,21.84
624,83.64,21.96
625,83.64,22.08
626,83.64,22.2
627,83.64,22.44
628,83.64,22.56
650,83.76,21.6
651,83.76,21.84
652,83.76,21.96
653,83.76,22.08
654,83.76,22.2
655,83.76,22.44
656,83.76,22.56
657,83.76,22.92
681,83.88,21.6
682,83.88,21.84
683,83.88,21.96
684,83.88,22.08
685,83.88,22.2
686,83.88,22.32
687,83.88,22.44
688,83.88,22.56
689,83.88,22.92
713,84,21.6
714,84,21.84
715,84,21.96
716,84,22.08
717,84,22.44
718,84,22.56
742,84.12,21.72
743,84.12,21.96
744,84.12,22.08
745,84.12,22.2
746,84.12,22.32
747,84.12,22.44
771,84.24,21.6
772,84.24,21.72
773,84.24,21.84
774,84.24,21.96
775,84.24,22.08
776,84.24,22.2
777,84.24,22.32
800,84.36,21.48
801,84.36,21.84
802,84.36,21.96
803,84.36,22.2
824,84.48,21.84
825,84.48,22.08
850,84.6,21.72
851,84.6,21.84
852,84.6,21.96
402,82.44,21.6
403,82.44,21.72
404,82.44,21.96
405,82.44,22.08
416,82.56,21.6
417,82.56,21.84
418,82.56,22.08
358,82.08,21.84
359,82.08,22.08
360,82.08,22.2
361,82.08,22.32
377,82.2,21.96
392,82.32,21.96
393,82.32,22.08
394,82.32,22.2
406,82.44,22.2
407,82.44,22.8
408,82.44,23.04
419,82.56,22.2
420,82.56,22.44
421,82.56,22.8
422,82.56,23.04
423,82.56,23.28
197,80.76,20.88
198,80.76,21
211,80.88,21
212,80.88,21.24
231,81,21.72
261,81.24,20.76
262,81.24,21
263,81.24,21.72
264,81.24,22.2
275,81.36,21.96
276,81.36,22.2
289,81.48,21.96
290,81.48,22.2
291,81.48,22.32
313,81.72,20.88
314,81.72,21.72
315,81.72,21.84
327,81.84,21
328,81.84,21.72
329,81.84,21.84
330,81.84,21.96
342,81.96,21
343,81.96,21.72
356,82.08,21.12
357,82.08,21.72
373,82.2,20.52
374,82.2,20.64
375,82.2,20.76
376,82.2,21.6
388,82.32,20.52
389,82.32,20.64
390,82.32,21.6
391,82.32,21.72
