Longitude,Latitude
70.56,24
70.56,24.12
70.56,24.24
70.56,24.36
70.56,25.8
70.56,25.92
70.56,26.04
70.56,26.16
70.56,26.28
70.56,26.4
70.56,26.52
70.56,26.64
70.56,26.76
70.56,26.88
70.56,27
70.56,27.12
70.56,27.24
70.56,27.36
70.56,27.48
70.56,27.6
70.56,27.72
70.56,27.84
70.56,27.96
70.68,20.76
70.68,20.88
70.68,21
70.68,21.12
70.68,21.24
70.68,21.36
70.68,21.48
70.68,21.6
70.68,21.72
70.68,21.84
70.68,21.96
70.68,22.08
70.68,22.2
70.68,22.32
70.68,22.44
70.68,22.56
70.68,22.68
70.68,22.8
70.68,22.92
70.68,23.04
70.68,23.16
70.68,23.28
70.68,23.4
70.68,23.52
70.68,23.64
70.68,23.76
70.68,23.88
70.68,24
70.68,24.12
70.68,25.44
70.68,25.56
70.68,25.68
70.68,25.8
70.68,25.92
70.68,26.04
70.68,26.16
70.68,26.28
70.68,26.4
70.68,26.52
70.68,26.64
70.68,26.76
70.68,26.88
70.68,27
70.68,27.12
70.68,27.24
70.68,27.36
70.68,27.48
70.68,27.6
70.68,27.72
70.8,20.76
70.8,20.88
70.8,21
70.8,21.12
70.8,21.24
70.8,21.36
70.8,21.48
70.8,21.6
70.8,21.72
70.8,21.84
70.8,21.96
70.8,22.08
70.8,22.2
70.8,22.32
70.8,22.44
70.8,22.56
70.8,22.68
70.8,22.8
70.8,22.92
70.8,23.04
70.8,23.16
70.8,23.28
70.8,23.4
70.8,23.52
70.8,23.64
70.8,23.76
70.8,23.88
70.8,24
70.8,24.12
70.8,25.32
70.8,25.44
70.8,25.56
70.8,25.68
70.8,25.8
70.8,25.92
70.8,26.04
70.8,26.16
70.8,26.28
70.8,26.4
70.8,26.52
70.8,26.64
70.8,26.76
70.8,26.88
70.8,27
70.8,27.12
70.8,27.24
70.8,27.36
70.8,27.48
70.8,27.6
70.92,20.76
70.92,20.88
70.92,21
70.92,21.12
70.92,21.24
70.92,21.36
70.92,21.48
70.92,21.6
70.92,21.72
70.92,21.84
70.92,21.96
70.92,22.08
70.92,22.2
70.92,22.32
70.92,22.44
70.92,22.56
70.92,22.68
70.92,22.8
70.92,22.92
70.92,23.04
70.92,23.16
70.92,23.28
70.92,23.4
70.92,23.52
70.92,23.64
70.92,23.76
70.92,23.88
70.92,24
70.92,24.12
70.92,24.24
70.92,25.08
70.92,25.2
70.92,25.32
70.92,25.44
70.92,25.56
70.92,25.68
70.92,25.8
70.92,25.92
70.92,26.04
70.92,26.16
70.92,26.28
70.92,26.4
70.92,26.52
70.92,26.64
70.92,26.76
70.92,26.88
70.92,27
70.92,27.12
70.92,27.24
70.92,27.36
70.92,27.48
70.92,27.6
71.04,20.76
71.04,20.88
71.04,21
71.04,21.12
71.04,21.24
71.04,21.36
71.04,21.48
71.04,21.6
71.04,21.72
71.04,21.84
71.04,21.96
71.04,22.08
71.04,22.2
71.04,22.32
71.04,22.44
71.04,22.56
71.04,22.68
71.04,22.8
71.04,22.92
71.04,23.04
71.04,23.16
71.04,23.28
71.04,23.4
71.04,23.52
71.04,23.64
71.04,23.76
71.04,23.88
71.04,24
71.04,24.12
71.04,24.24
71.04,24.48
71.04,24.6
71.04,24.84
71.04,24.96
71.04,25.08
71.04,25.2
71.04,25.32
71.04,25.44
71.04,25.56
71.04,25.68
71.04,25.8
71.04,25.92
71.04,26.04
71.04,26.16
71.04,26.28
71.04,26.4
71.04,26.52
71.04,26.64
71.04,26.76
71.04,26.88
71.04,27
71.04,27.12
71.04,27.24
71.04,27.36
71.04,27.48
71.04,27.6
71.04,27.72
71.16,20.88
71.16,21
71.16,21.12
71.16,21.24
71.16,21.36
71.16,21.48
71.16,21.6
71.16,21.72
71.16,21.84
71.16,21.96
71.16,22.08
71.16,22.2
71.16,22.32
71.16,22.44
71.16,22.56
71.16,22.68
71.16,22.8
71.16,22.92
71.16,23.04
71.16,23.16
71.16,23.28
71.16,23.4
71.16,23.52
71.16,23.64
71.16,23.76
71.16,23.88
71.16,24
71.16,24.12
71.16,24.24
71.16,24.36
71.16,24.48
71.16,24.6
71.16,24.72
71.16,24.84
71.16,24.96
71.16,25.08
71.16,25.2
71.16,25.32
71.16,25.44
71.16,25.56
71.16,25.68
71.16,25.8
71.16,25.92
71.16,26.04
71.16,26.16
71.16,26.28
71.16,26.4
71.16,26.52
71.16,26.64
71.16,26.76
71.16,26.88
71.16,27
71.16,27.12
71.16,27.24
71.16,27.36
71.16,27.48
71.16,27.6
71.16,27.72
71.28,20.88
71.28,21
71.28,21.12
71.28,21.24
71.28,21.36
71.28,21.48
71.28,21.6
71.28,21.72
71.28,21.84
71.28,21.96
71.28,22.08
71.28,22.2
71.28,22.32
71.28,22.44
71.28,22.56
71.28,22.68
71.28,22.8
71.28,22.92
71.28,23.04
71.28,23.16
71.28,23.28
71.28,23.4
71.28,23.52
71.28,23.64
71.28,23.76
71.28,23.88
71.28,24
71.28,24.12
71.28,24.24
71.28,24.36
71.28,24.48
71.28,24.6
71.28,24.72
71.28,24.84
71.28,24.96
71.28,25.08
71.28,25.2
71.28,25.32
71.28,25.44
71.28,25.56
71.28,25.68
71.28,25.8
71.28,25.92
71.28,26.04
71.28,26.16
71.28,26.28
71.28,26.4
71.28,26.52
71.28,26.64
71.28,26.76
71.28,26.88
71.28,27
