long,lat,Distance,Elevation,L-Mean,L-CV,L-Skew,L-Kurtosis,,,,,,,,,,,,,,,,,
76.5,11.25,55569.5,2269,88.4892913,0.223302192,0.182261233,0.195265936,,,,,,,,,,-0.515631431,-2.048351815,-1.091463769,1.20412624,0.07090595,-0.35925722,-0.845095285,-0.026038856
77,11.25,111139,351,113.543236,0.310668603,0.272938,0.194721273,,,,,,,,,,-0.430290078,-2.048351815,-0.952839638,-0.315197429,0.988470178,0.682022682,0.413546623,-0.03398521
77.5,11.25,157174.2784,302,61.13206162,0.173055255,0.110953849,0.200218967,,,,,,,,,,-0.344948725,-2.048351815,-0.837999654,-0.354012267,-0.931012734,-0.958127256,-1.834879822,0.046223329
78,11.25,200358.6798,158,69.8627491,0.204154731,0.14471406,0.158654205,,,,,,,,,,-0.259607372,-2.048351815,-0.730271491,-0.468080363,-0.611264024,-0.587466965,-1.36627008,-0.560185257
78.5,11.25,166708.5,174,63.2459454,0.234289368,0.120671143,0.288657418,,,,,,,,,,-0.174266019,-2.048351815,-0.814215506,-0.45540613,-0.85359482,-0.228306144,-1.699998596,1.336495026
79,11.25,111139,114,91.05871212,0.278320065,0.17802411,0.224756546,,,,,,,,,,-0.088924666,-2.048351815,-0.952839638,-0.502934504,0.165007245,0.296475398,-0.903908813,0.404214037
79.5,11.25,55569.5,23,143.0539885,0.255066215,0.157947876,0.139303544,,,,,,,,,,-0.003583313,-2.048351815,-1.091463769,-0.575019203,2.069258498,0.019323499,-1.182577653,-0.842501489
75.5,11.75,0,24,147.6881058,0.171283291,0.218876423,0.179183133,,,,,,,,,,-0.686314137,-1.964072065,-1.230087901,-0.574227064,2.238976294,-0.979246476,-0.336856911,-0.260678714
76,11.75,55569.5,760,102.3127388,0.27075678,0.21449864,0.104565566,,,,,,,,,,-0.600972784,-1.964072065,-1.091463769,0.008787649,0.577169578,0.206332097,-0.397622875,-1.349310793
76.5,11.75,78587.13921,911,65.86467358,0.232655705,0.276476321,0.205755884,,,,,,,,,,-0.515631431,-1.964072065,-1.034043777,0.128400722,-0.757687715,-0.247777019,0.462660406,0.127004112
77,11.75,124257.1813,823,54.43186134,0.200503413,0.2508818,0.228581383,,,,,,,,,,-0.430290078,-1.964072065,-0.920114915,0.058692441,-1.176397809,-0.630985337,0.107394799,0.46001645
