Longitude,Latitude,Elevation (m),Distance (m),L-CV,L-Skew,L-kurtosis,,,,,,,,,,,Longitude,Latitude,Elevation (m),Distance (m),L-CV,L-Skew,L-kurtosis
77.25,9.5,941,87863.09528,0.231850194,0.163801028,0.120460251,,,,,,,,,,,-0.370502019,-2.353552841,0.16456165,-1.023687819,-0.265495452,-1.189275934,-1.200470286
77.5,9.5,188,62128.59065,0.193173068,0.165078869,0.134706232,,,,,,,,,,,-0.327584346,-2.353552841,-0.438135378,-1.087991957,-0.730759845,-1.170055868,-0.973086051
77.75,9.5,112,39293.5696,0.201963761,0.222240473,0.145713855,,,,,,,,,,,-0.284666673,-2.353552841,-0.498965357,-1.145051006,-0.625012679,-0.310285534,-0.797390187
78,9.5,88,27784.75,0.225500916,0.217026774,0.181789832,,,,,,,,,,,-0.241749001,-2.353552841,-0.518174824,-1.173808689,-0.341873747,-0.388705022,-0.221571053
78.25,9.5,58,27784.75,0.277858471,0.200991184,0.254496505,,,,,,,,,,,-0.198831328,-2.353552841,-0.542186658,-1.173808689,0.287958626,-0.629897074,0.938921245
78.5,9.5,45,27784.75,0.244647871,0.227236975,0.349727045,,,,,,,,,,,-0.155913655,-2.353552841,-0.552591786,-1.173808689,-0.111546489,-0.235132915,2.458923518
78.75,9.5,20,0,0.254758748,0.315041929,0.340848584,,,,,,,,,,,-0.112995983,-2.353552841,-0.572601648,-1.243235881,0.010081758,1.085545467,2.317211826
76.5,9.75,30,27784.75,0.169674419,0.147326314,0.180783062,,,,,,,,,,,-0.499255037,-2.311411337,-0.564597703,-1.173808689,-1.01343557,-1.437072871,-0.237640401
76.75,9.75,262,55569.5,0.207793417,0.179215723,0.179745597,,,,,,,,,,,-0.456337364,-2.311411337,-0.378906188,-1.104381496,-0.554885148,-0.957422792,-0.254199681
77,9.75,897,78587.13921,0.247632882,0.298042256,0.20161055,,,,,,,,,,,-0.413419691,-2.311411337,0.129344294,-1.04686613,-0.075638461,0.829852598,0.094793176
77.25,9.75,526,100179.3399,0.226294137,0.230678219,0.189408048,,,,,,,,,,,-0.370502019,-2.311411337,-0.167602051,-0.992912581,-0.332331738,-0.183373005,-0.099974498
77.5,9.75,439,78587.13921,0.190591723,0.12261377,0.094842387,,,,,,,,,,,-0.327584346,-2.311411337,-0.237236369,-1.04686613,-0.761811995,-1.808775391,-1.609364444
77.75,9.75,220,62128.59065,0.190075688,0.293915825,0.263760422,,,,,,,,,,,-0.284666673,-2.311411337,-0.412522756,-1.087991957,-0.76801961,0.767786758,1.086785311
78,9.75,114,55569.5,0.208453211,0.270292942,0.268037983,,,,,,,,,,,-0.241749001,-2.311411337,-0.497364568,-1.104381496,-0.546948192,0.41247388,1.155060703
78.25,9.75,97,55569.5,0.253092725,0.184061026,0.268176592,,,,,,,,,,,-0.198831328,-2.311411337,-0.510971274,-1.104381496,-0.009959575,-0.884544365,1.157273082
78.5,9.75,75,27784.75,0.255956933,0.220956497,0.334061295,,,,,,,,,,,-0.155913655,-2.311411337,-0.528579952,-1.173808689,0.02449526,-0.329597876,2.208877938
78.75,9.75,27,0,0.244437225,0.188656754,0.271239542,,,,,,,,,,,-0.112995983,-2.311411337,-0.566998886,-1.243235881,-0.114080444,-0.815419807,1.206161715
76.25,10,3,0,0.176725645,0.236299709,0.260041023,,,,,,,,,,,-0.542172709,-2.269269833,-0.586208353,-1.243235881,-0.928613229,-0.098819913,1.027418905
76.5,10,31,27784.75,0.186362769,0.187957769,0.209746738,,,,,,,,,,,-0.499255037,-2.269269833,-0.563797309,-1.173808689,-0.812683968,-0.825933273,0.224657233
76.75,10,42,55569.5,0.192997471,0.226183225,0.231363464,,,,,,,,,,,-0.456337364,-2.269269833,-0.554992969,-1.104381496,-0.732872179,-0.250982418,0.569688067
77,10,649,83354.25,0.244728016,0.310631503,0.263860711,,,,,,,,,,,-0.413419691,-2.269269833,-0.069153532,-1.034954304,-0.110582389,1.019208045,1.088386053
77.25,10,1692,111139,0.209647466,0.182674171,0.13699972,,,,,,,,,,,-0.370502019,-2.269269833,0.76565789,-0.965527111,-0.532581966,-0.905404116,-0.936479023
77.5,10,286,100179.3399,0.187695554,0.185171291,0.196056786,,,,,,,,,,,-0.327584346,-2.269269833,-0.359696721,-0.992912581,-0.796651303,-0.867844818,0.006147938
77.75,10,294,87863.09528,0.198695032,0.080892285,0.112090571,,,,,,,,,,,-0.284666673,-2.269269833,-0.353293565,-1.023687819,-0.664333678,-2.43631018,-1.334061176
78,10,159,83354.25,0.223896306,0.205727521,0.268369393,,,,,,,,,,,-0.241749001,-2.269269833,-0.461346818,-1.034954304,-0.361176317,-0.55865761,1.160350434
78.25,10,151,62128.59065,0.211254473,0.177398948,0.272580591,,,,,,,,,,,-0.198831328,-2.269269833,-0.467749973,-1.087991957,-0.513250562,-0.984748989,1.227566587
78.5,10,98,39293.5696,0.245906778,0.253989731,0.311183997,,,,,,,,,,,-0.155913655,-2.269269833,-0.51017088,-1.145051006,-0.096402535,0.167256527,1.843726748
78.75,10,72,27784.75,0.268058055,0.357551035,0.352618144,,,,,,,,,,,-0.112995983,-2.269269833,-0.530981136,-1.173808689,0.170065052,1.7249269,2.505069188
79,10,27,0,0.230701353,0.272551482,0.28166681,,,,,,,,,,,-0.07007831,-2.269269833,-0.566998886,-1.243235881,-0.279315372,0.446444684,1.372594364
76.25,10.25,4,0,0.166650257,0.191908462,0.176494261,,,,,,,,,,,-0.542172709,-2.227128329,-0.585407959,-1.243235881,-1.049814563,-0.766510717,-0.306095198
76.5,10.25,65,27784.75,0.185681182,0.261460429,0.262859382,,,,,,,,,,,-0.499255037,-2.227128329,-0.536583897,-1.173808689,-0.820883082,0.279623642,1.07240355
76.75,10.25,156,55569.5,0.220881182,0.292742746,0.211745496,,,,,,,,,,,-0.456337364,-2.227128329,-0.463748001,-1.104381496,-0.397446587,0.750142422,0.256559989
77,10.25,1335,83354.25,0.27984164,0.326018309,0.22469894,,,,,,,,,,,-0.413419691,-2.227128329,0.479917068,-1.034954304,0.31181505,1.250641707,0.463313666
77.25,10.25,1788,111139,0.249504319,0.334385697,0.245496124,,,,,,,,,,,-0.370502019,-2.227128329,0.842495758,-0.965527111,-0.053126111,1.376495978,0.795263553
77.5,10.25,2083,124257.1813,0.244025487,0.267788772,0.178991713,,,,,,,,,,,-0.327584346,-2.227128329,1.078612124,-0.932748033,-0.119033424,0.374808543,-0.266232642
77.75,10.25,309,114559.4563,0.198136693,0.248224301,0.202098278,,,,,,,,,,,-0.284666673,-2.227128329,-0.341287649,-0.95698024,-0.671050186,0.080538428,0.102577944
78,10.25,1191,100179.3399,0.249586794,0.285501254,0.308847558,,,,,,,,,,,-0.241749001,-2.227128329,0.364660265,-0.992912581,-0.052133982,0.641222805,1.806434168
78.25,10.25,257,78587.13921,0.264453729,0.241869054,0.362106732,,,,,,,,,,,-0.198831328,-2.227128329,-0.382908161,-1.04686613,0.126707007,-0.015051137,2.656519293
78.5,10.25,156,55569.5,0.225443766,0.254075174,0.375161288,,,,,,,,,,,-0.155913655,-2.227128329,-0.463748001,-1.104381496,-0.34256123,0.16854168,2.864886848
