-0.37050,-2.56426,-0.52058,-1.24324,-0.23118,0.72226,0.20778
-0.32758,-2.56426,-0.53738,-1.24324,0.06621,0.93469,0.86288
-0.28467,-2.56426,-0.56540,-1.24324,0.17077,-0.21223,-0.59396
-0.41342,-2.52212,-0.56300,-1.24324,-0.72636,-1.22220,-0.94740
-0.37050,-2.52212,-0.33729,-1.17381,-0.04627,0.19770,0.03729
-0.32758,-2.52212,-0.17481,-1.17381,-0.06097,0.40370,0.33539
-0.28467,-2.52212,-0.53498,-1.24324,-0.31212,-0.98451,-0.00373
-0.24175,-2.52212,-0.57500,-1.24324,0.06237,-1.69199,-0.44983
-0.45634,-2.47998,-0.55819,-1.24324,-0.73776,-1.50538,0.19109
-0.41342,-2.47998,-0.52698,-1.17381,0.14084,0.78238,1.17520
-0.37050,-2.47998,0.51353,-1.14505,-0.21644,0.31021,0.53149
-0.32758,-2.47998,-0.54219,-1.14505,-0.00538,0.86376,1.14074
-0.28467,-2.47998,-0.56140,-1.17381,-0.09905,-0.39349,-0.26790
-0.24175,-2.47998,-0.56060,-1.24324,-0.03195,-0.63807,-0.94234
-0.45634,-2.43784,-0.52938,-1.17381,-0.84003,-1.53461,-0.20791
-0.41342,-2.43784,-0.53658,-1.14505,-0.36111,-0.12503,-0.06023
-0.37050,-2.43784,-0.42453,-1.08799,-0.20573,0.55283,1.00694
-0.32758,-2.43784,-0.48456,-1.10438,-0.00367,1.11160,0.95527
-0.28467,-2.43784,-0.52618,-1.17381,-0.24325,0.20848,-0.43895
-0.24175,-2.43784,-0.54299,-1.24324,0.19096,2.34400,2.60473
-0.49926,-2.39569,-0.58221,-1.24324,-1.05881,-1.30393,-0.18578
-0.45634,-2.39569,-0.57180,-1.17381,-0.81587,-0.42258,-0.65712
-0.41342,-2.39569,-0.36050,-1.10438,-0.35897,0.68149,1.25931
-0.37050,-2.39569,0.27742,-1.04687,-0.42885,0.33456,0.66799
-0.32758,-2.39569,-0.47015,-1.10438,-0.16216,0.43096,1.56545
-0.28467,-2.39569,-0.50377,-1.17381,0.40159,1.97747,1.42590
-0.24175,-2.39569,-0.55179,-1.24324,-0.48442,0.68302,0.61342
-0.19883,-2.39569,-0.56140,-1.24324,0.47965,-0.61002,1.29861
-0.15591,-2.39569,-0.57580,-1.24324,0.71777,1.51443,2.74727
-0.11300,-2.39569,-0.58061,-1.24324,0.51454,1.90925,2.52812
-0.49926,-2.35355,-0.58701,-1.17381,-1.00415,-1.18174,-0.34864
-0.45634,-2.35355,-0.51657,-1.14505,-0.67273,-3.12972,-0.63535
