id,Longitude,Latitude
"922",82.68,21.36
"923",82.68,21.6
"927",82.8,21.84
"933",82.92,21.6
"948",83.4,22.92
"949",83.4,23.04
"950",83.52,22.92
"954",83.64,22.68
"955",83.64,23.04
"957",83.76,22.68
"958",83.76,22.8
"959",83.76,23.04
"962",83.88,22.8
"963",83.88,23.04
"904",82.44,20.88
"905",82.44,21
"906",82.44,21.84
"912",82.56,21
"921",82.68,21.12
"880",82.2,21.96
"881",82.2,22.8
"882",82.2,23.04
"883",82.2,23.16
"893",82.32,22.44
"894",82.32,22.56
"895",82.32,23.28
"896",82.32,23.4
"907",82.44,22.32
"908",82.44,22.44
"715",80.64,20.52
"716",80.64,20.64
"722",80.76,20.64
"736",80.88,21.48
"737",80.88,21.6
"754",81,21.96
"769",81.12,20.52
"770",81.12,21.24
"771",81.12,22.08
"772",81.12,22.2
"773",81.12,22.32
"783",81.24,20.52
"784",81.24,21.24
"785",81.24,21.6
"786",81.24,21.84
"787",81.24,22.08
"788",81.24,22.32
"800",81.36,20.4
"801",81.36,20.64
"802",81.36,20.88
"803",81.36,21.24
"804",81.36,21.36
"816",81.48,21.12
"817",81.48,21.36
"818",81.48,21.6
"819",81.48,22.44
"829",81.6,20.4
"830",81.6,21.12
"831",81.6,21.24
"832",81.6,22.08
"837",81.72,20.4
"838",81.72,20.64
"839",81.72,20.76
"840",81.72,21.24
"841",81.72,22.08
"842",81.72,22.56
"853",81.84,20.4
"854",81.84,21.24
"855",81.84,22.08
"856",81.84,22.56
"862",81.96,20.76
"863",81.96,20.88
"864",81.96,22.56
"865",81.96,22.68
"879",82.2,21
"892",82.32,21.36
"799",81.36,20.16
"815",81.48,20.16
"828",81.6,20.16
"861",81.96,20.16
"878",82.2,20.28
"891",82.32,20.28
