id,Longitude,Latitude
"702",82.68,21.24
"703",82.68,21.48
"704",82.68,22.08
"705",82.68,22.2
"706",82.68,22.32
"707",82.68,22.92
"708",82.68,23.04
"720",82.8,22.32
"721",82.8,22.8
"722",82.8,22.92
"734",82.92,21.84
"735",82.92,22.08
"736",82.92,22.32
"737",82.92,22.56
"738",82.92,22.68
"739",82.92,22.8
"741",82.92,23.04
"752",83.04,21.96
"753",83.04,22.08
"754",83.04,22.44
"755",83.04,22.56
"772",83.16,22.32
"773",83.16,22.68
"784",83.28,22.32
"785",83.28,22.68
"801",83.4,22.8
"814",83.52,22.56
"815",83.52,22.68
"824",83.64,22.32
"825",83.64,22.92
"836",83.76,22.44
"837",83.76,22.92
"851",83.88,22.68
"852",83.88,22.92
"867",84,22.68
"903",84.48,21.6
"917",84.6,21.6
"656",82.44,20.52
"657",82.44,20.64
"658",82.44,21.12
"659",82.44,21.36
"660",82.44,21.48
"661",82.44,21.96
"662",82.44,22.08
"677",82.56,20.88
"678",82.56,21.12
"679",82.56,21.48
"680",82.56,21.84
"681",82.56,21.96
"682",82.56,22.08
"592",82.08,21.84
"593",82.08,21.96
"594",82.08,22.08
"595",82.08,22.2
"596",82.08,22.32
"597",82.08,22.44
"598",82.08,22.56
"599",82.08,22.68
"621",82.2,22.08
"622",82.2,22.2
"623",82.2,22.32
"624",82.2,22.44
"625",82.2,22.56
"626",82.2,22.92
"627",82.2,23.28
"641",82.32,21.84
"642",82.32,21.96
"643",82.32,22.08
"644",82.32,22.32
"645",82.32,22.68
"646",82.32,23.16
"663",82.44,22.2
"664",82.44,22.56
"665",82.44,22.68
"666",82.44,23.28
"683",82.56,22.2
"684",82.56,22.32
"685",82.56,22.44
"686",82.56,22.8
"687",82.56,23.04
"688",82.56,23.16
"689",82.56,23.28
"308",80.52,20.76
"324",80.64,21
"340",80.76,21.24
"356",80.88,20.76
"357",80.88,21
"358",80.88,21.24
"369",81,20.52
"370",81,20.64
"371",81,20.76
"372",81,20.88
"373",81,21
"374",81,21.12
"375",81,21.24
"376",81,21.72
"377",81,21.84
"387",81.12,20.76
"388",81.12,20.88
"389",81.12,21
"390",81.12,21.12
"391",81.12,21.36
"392",81.12,21.72
"393",81.12,21.84
"394",81.12,21.96
"406",81.24,20.4
"407",81.24,20.64
"408",81.24,20.76
"409",81.24,20.88
"410",81.24,21
"411",81.24,21.12
"412",81.24,21.48
"413",81.24,21.72
"414",81.24,21.96
"415",81.24,22.2
"431",81.36,20.52
"432",81.36,21
"433",81.36,21.12
"434",81.36,21.6
"435",81.36,21.84
"436",81.36,21.96
"437",81.36,22.08
"438",81.36,22.2
"457",81.48,20.4
"458",81.48,20.52
"459",81.48,20.76
"460",81.48,20.88
"461",81.48,21
"462",81.48,21.48
"463",81.48,21.72
"464",81.48,21.84
"465",81.48,22.08
"466",81.48,22.2
"484",81.6,20.52
"485",81.6,20.88
"486",81.6,21
"487",81.6,21.36
"488",81.6,21.48
"489",81.6,21.6
"508",81.72,21.12
"509",81.72,21.36
"510",81.72,21.48
"511",81.72,21.6
"512",81.72,21.72
"513",81.72,22.2
"514",81.72,22.32
"532",81.84,20.64
"533",81.84,20.88
"534",81.84,21
"535",81.84,21.12
"536",81.84,21.36
"537",81.84,21.48
"538",81.84,21.6
"539",81.84,21.72
"540",81.84,21.96
"541",81.84,22.2
"542",81.84,22.32
"543",81.84,22.44
"562",81.96,21.24
"563",81.96,21.36
"564",81.96,21.48
"565",81.96,21.6
"566",81.96,21.84
"567",81.96,22.08
"568",81.96,22.2
"569",81.96,22.32
"570",81.96,22.44
"587",82.08,20.64
"588",82.08,20.76
"589",82.08,21
"590",82.08,21.12
"591",82.08,21.36
"616",82.2,20.64
"617",82.2,20.76
"618",82.2,21.12
"619",82.2,21.36
"620",82.2,21.72
"637",82.32,20.4
"638",82.32,20.76
"639",82.32,20.88
"640",82.32,21
"405",81.24,20.28
"430",81.36,20.28
"456",81.48,20.28
"561",81.96,20.28
"585",82.08,20.04
"586",82.08,20.28
