21.125,17.281,78.375,13.531,57.352,72.047,22.219,60.031,61.406,51.047,14.078,12.953,14.672,25.844,16.766,20.453,69.266,66.25,11.266,22.469,14.359,24.328,42.719,22.672,62.328,74.781,68.344,62.109,25.844,43.109,16.438
16.125,49.984,106.81,62.438,86.109,32.766,55.406,52.828,35.531,28.828,52.203,16.656,47.891,113.14,40.953,22.562,70.672,25.125,13.594,18.281,67.938,27.5,75.875,39.703,29.734,64.703,82.234,34.125,27.688,78.359,109.28
15.484,55.359,62.758,38.984,93.312,40.203,32.391,29.188,13.672,30.734,66.688,18,49.438,54.781,48.859,41.359,33.812,24.062,14.641,15.172,120.03,22.625,84.016,36.625,37.734,71.531,100.81,100.22,37.781,75.812,78.266
40.266,52.969,58.625,40,25.156,56.031,65.062,15.75,14.688,15.172,20.898,24.719,17.266,12.688,29.172,61.484,23.047,25.672,42.922,18.703,23.688,25.609,23.422,32.562,52.109,29.094,44.562,28.031,21.781,45.766,14.281
16.734,22.812,36.312,40.219,52.203,24.953,52.875,34.109,22.297,19.484,59.531,25.203,43.438,17.109,69.922,36.906,36.359,55.891,22.219,16.516,31.438,23.156,62.734,60.156,35.656,63.359,83.906,38.547,40.656,39.562,14.906
33.156,24.094,45.031,90.719,24.625,39.094,55.891,40.625,64.562,22.945,38.703,33.859,25.984,17.188,71.938,29.906,46.922,83.531,19,82.766,25.219,33.258,53.375,85.016,42.797,30.984,73.578,53.375,34.469,39.719,17.562
24.719,21.516,44.688,33.578,58.109,24.406,68.047,48.672,25.656,19.094,71.906,28.047,53.312,18.828,101.44,27.344,84.438,73.5,29.891,18.031,24.188,25.133,51.203,65.906,34.656,95.344,63.766,64.359,55.047,35.969,16.562
20.125,16.141,114.52,112,148.17,72.062,135,26.922,11.812,37.391,35.844,98.484,19.812,57.234,23.359,32.422,117.7,36.969,29.906,16.164,60.406,80.016,95.891,20.141,51.812,20.484,62.109,67.438,57.656,116.45,19.062
31.531,19.391,56.906,38.5,59.125,30.672,61.453,53.172,48.219,18.844,52.922,38.562,63.531,26.922,104.38,18.703,125.91,47.812,40.234,36.312,20.594,36.672,68.984,80.344,61.672,86.828,58.75,114.47,76.5,62.156,17.422
18.109,17.734,102.73,133.03,106.89,58.188,98.219,20.156,12.953,34.789,40.422,98.141,13.938,37.344,38.109,36.422,104.61,33.656,59.547,15.734,73.688,86.094,100.14,20.578,77.672,22.703,37.797,133.84,78.891,146.89,17.906
22.516,34.688,84.953,74.922,121.52,75.016,84.219,13.719,12.07,31.664,36.109,70.406,13.906,35.047,39.797,30.984,137.88,33.781,63.125,16.812,74.953,66.734,93.516,30.094,71.938,24.094,44.188,123.52,84,157.66,17.938
50.75,26.047,27.641,38.188,55.531,101.69,67.875,61.594,18.328,14.516,90.438,49.703,27.938,12.609,63.984,17.609,54.391,46.938,51.953,19.031,59.875,55.156,139.38,68.641,57.562,44.109,87.578,92.234,52.781,89.688,26.141
57.156,20.812,28.141,32.734,51.781,52.547,84.719,67.969,18.344,16.922,81.969,61.016,30.297,14.938,65.172,15.906,77.172,37.047,50.016,20.453,73.391,42.422,156.81,40.984,56.344,87.312,79.875,51.766,58.328,92.531,28.797
30.406,19.344,67.016,40.016,76.172,34.281,53.219,65.562,17.234,17.953,57.938,73.766,32.812,14.531,70.719,31.797,69.781,32.75,48.578,22.25,92.672,79.703,168.88,22.344,62.688,115.83,80.469,87.406,54.297,104.53,21.656
23.516,43.609,35.68,110.19,19.625,56.578,75.578,72.625,18.984,23.414,28.016,27.328,16.516,23.672,67.641,29.781,99.719,58.984,44.203,81.422,31.703,34.617,120.72,95.578,49.844,77.75,91.375,121.66,42.047,110.69,20.258
