id,Longitude,Latitude
"384",82.68,21.36
"385",82.68,21.6
"386",82.68,21.72
"387",82.68,21.84
"388",82.68,21.96
"389",82.68,22.8
"392",82.8,22.8
"393",82.8,22.92
"394",82.8,23.04
"400",82.92,23.04
"405",83.04,22.56
"409",83.16,21.36
"414",83.28,22.44
"429",83.52,22.8
"436",83.64,22.32
"437",83.64,22.92
"444",83.76,23.04
"459",84,22.2
"468",84.36,21.6
"469",84.36,21.72
"476",84.48,21.72
"378",82.56,21.48
"358",82.08,22.56
"361",82.2,22.56
"362",82.2,22.68
"363",82.2,22.8
"364",82.2,23.16
"368",82.32,22.56
"369",82.32,22.68
"370",82.32,22.8
"371",82.32,23.16
"372",82.32,23.28
"375",82.44,23.04
"376",82.44,23.28
"379",82.56,22.68
"380",82.56,22.92
"381",82.56,23.16
"260",80.64,20.76
"261",80.64,20.88
"262",80.64,21.12
"274",80.88,20.88
"275",80.88,21.36
"276",80.88,21.6
"282",81,20.52
"283",81,21.36
"291",81.12,20.4
"292",81.12,20.88
"293",81.12,21.24
"294",81.12,21.6
"295",81.12,21.96
"296",81.12,22.08
"302",81.24,20.88
"303",81.24,21.48
"304",81.24,22.32
"308",81.36,20.76
"309",81.36,21.24
"310",81.36,21.48
"319",81.48,21.48
"323",81.6,21.24
"324",81.6,21.96
"325",81.6,22.08
"332",81.72,22.2
"333",81.72,22.32
"339",81.84,20.52
"340",81.84,20.88
"341",81.84,21.24
"342",81.84,22.44
"343",81.84,22.56
"348",81.96,21.84
"349",81.96,22.56
"355",82.08,20.88
"356",82.08,21.24
"357",82.08,21.48
"360",82.2,20.88
"366",82.32,21
"367",82.32,21.48
"301",81.24,20.28
