id,Longitude,Latitude
"697",82.68,21.48
"698",82.68,22.92
"699",82.68,23.04
"714",82.8,21.6
"715",82.8,21.96
"726",82.92,21.48
"727",82.92,21.72
"728",82.92,22.08
"729",82.92,22.2
"730",82.92,22.32
"731",82.92,22.56
"732",82.92,22.68
"733",82.92,22.8
"748",83.04,21.36
"749",83.04,21.48
"750",83.04,21.6
"751",83.04,21.96
"752",83.04,22.08
"753",83.04,22.32
"754",83.04,22.44
"776",83.16,21.48
"777",83.16,21.6
"778",83.16,21.96
"798",83.28,21.6
"799",83.28,22.32
"800",83.28,22.68
"815",83.4,21.6
"831",83.52,22.32
"832",83.52,22.56
"833",83.52,22.68
"847",83.64,22.68
"848",83.64,22.8
"856",83.76,22.2
"857",83.76,22.32
"858",83.76,22.68
"859",83.76,22.8
"870",83.88,22.2
"871",83.88,22.32
"872",83.88,22.68
"873",83.88,22.8
"874",83.88,23.04
"888",84,22.32
"889",84,22.68
"911",84.12,21.84
"912",84.12,22.08
"913",84.12,22.32
"914",84.12,22.44
"915",84.12,22.56
"916",84.12,22.68
"917",84.12,22.8
"966",84.6,21.72
"660",82.44,20.52
"661",82.44,20.64
"662",82.44,20.88
"663",82.44,21.48
"664",82.44,21.84
"678",82.56,21
"679",82.56,21.72
"680",82.56,21.84
"681",82.56,21.96
"682",82.56,22.08
"601",82.08,21.96
"602",82.08,22.2
"603",82.08,22.32
"604",82.08,22.44
"624",82.2,22.08
"625",82.2,22.2
"626",82.2,22.32
"627",82.2,22.44
"628",82.2,23.28
"642",82.32,21.84
"643",82.32,22.08
"644",82.32,22.32
"645",82.32,22.44
"665",82.44,22.2
"666",82.44,22.32
"667",82.44,22.44
"668",82.44,22.56
"669",82.44,22.68
"670",82.44,23.16
"683",82.56,22.32
"684",82.56,22.44
"685",82.56,22.56
"686",82.56,23.04
"687",82.56,23.28
"700",82.68,23.16
"315",80.52,20.76
"329",80.64,21
"345",80.76,20.76
"346",80.76,21
"347",80.76,21.24
"348",80.76,21.36
"362",80.88,20.76
"363",80.88,21
"364",80.88,21.12
"365",80.88,21.48
"366",80.88,21.72
"379",81,20.76
"380",81,21
"381",81,21.12
"382",81,21.24
"383",81,21.48
"384",81,21.6
"385",81,21.84
"400",81.12,21
"401",81.12,21.12
"402",81.12,21.36
"403",81.12,21.48
"404",81.12,21.72
"405",81.12,21.84
"406",81.12,22.2
"407",81.12,22.32
"420",81.24,20.76
"421",81.24,21
"422",81.24,21.12
"423",81.24,21.24
"424",81.24,21.36
"425",81.24,21.6
"426",81.24,21.84
"427",81.24,21.96
"428",81.24,22.08
"429",81.24,22.2
"446",81.36,21
"447",81.36,21.12
"448",81.36,21.36
"449",81.36,21.6
"450",81.36,21.72
"451",81.36,21.84
"452",81.36,21.96
"453",81.36,22.08
"454",81.36,22.2
"455",81.36,22.32
"471",81.48,20.76
"472",81.48,20.88
"473",81.48,21
"474",81.48,21.36
"475",81.48,21.6
"476",81.48,21.72
"477",81.48,21.84
"478",81.48,22.08
"479",81.48,22.32
"497",81.6,20.64
"498",81.6,20.76
"499",81.6,21
"500",81.6,21.36
"501",81.6,21.48
"502",81.6,21.72
"503",81.6,21.84
"504",81.6,22.2
"505",81.6,22.32
"522",81.72,20.64
"523",81.72,20.76
"524",81.72,20.88
"525",81.72,21
"526",81.72,21.12
"527",81.72,21.48
"528",81.72,21.6
"529",81.72,21.72
"530",81.72,21.84
"548",81.84,20.76
"549",81.84,21.12
"550",81.84,21.48
"551",81.84,21.6
"552",81.84,21.84
"553",81.84,21.96
"554",81.84,22.08
"555",81.84,22.2
"556",81.84,22.32
"573",81.96,21.12
"574",81.96,21.24
"575",81.96,21.6
"576",81.96,22.08
"577",81.96,22.2
"578",81.96,22.32
"579",81.96,22.44
"594",82.08,20.52
"595",82.08,20.64
"596",82.08,20.76
"597",82.08,21
"598",82.08,21.12
"599",82.08,21.36
"600",82.08,21.6
"618",82.2,20.4
"619",82.2,20.76
"620",82.2,21
"621",82.2,21.12
"622",82.2,21.48
"623",82.2,21.72
"640",82.32,20.4
"641",82.32,20.76
"593",82.08,20.28
