id,Longitude,Latitude
"334",82.68,22.08
"335",82.68,22.2
"336",82.68,22.32
"337",82.68,22.44
"338",82.68,22.56
"339",82.68,22.68
"355",82.8,22.08
"356",82.8,22.2
"357",82.8,22.32
"358",82.8,22.44
"359",82.8,22.56
"360",82.8,22.68
"375",82.92,21.84
"376",82.92,21.96
"393",83.04,21.72
"394",83.04,21.84
"395",83.04,22.2
"408",83.16,21.72
"409",83.16,21.84
"410",83.16,22.08
"411",83.16,22.2
"412",83.16,22.32
"413",83.16,22.44
"414",83.16,22.56
"428",83.28,21.48
"429",83.28,21.72
"430",83.28,21.84
"431",83.28,21.96
"432",83.28,22.08
"433",83.28,22.2
"434",83.28,22.56
"445",83.4,21.72
"446",83.4,21.84
"447",83.4,21.96
"448",83.4,22.08
"449",83.4,22.2
"450",83.4,22.32
"451",83.4,22.44
"452",83.4,22.56
"453",83.4,22.68
"469",83.52,21.6
"470",83.52,21.72
"471",83.52,21.96
"472",83.52,22.08
"473",83.52,22.2
"474",83.52,22.44
"491",83.64,21.6
"492",83.64,21.72
"493",83.64,21.84
"494",83.64,21.96
"495",83.64,22.08
"496",83.64,22.2
"497",83.64,22.44
"498",83.64,22.56
"521",83.76,21.6
"522",83.76,21.84
"523",83.76,21.96
"524",83.76,22.08
"525",83.76,22.44
"526",83.76,22.56
"527",83.76,22.92
"548",83.88,21.6
"549",83.88,21.84
"550",83.88,21.96
"551",83.88,22.08
"552",83.88,22.44
"553",83.88,22.56
"554",83.88,22.92
"574",84,21.6
"575",84,21.84
"576",84,21.96
"577",84,22.08
"578",84,22.44
"579",84,22.56
"580",84,22.8
"596",84.12,21.72
"597",84.12,21.96
"598",84.12,22.2
"619",84.24,21.6
"620",84.24,21.72
"621",84.24,21.84
"622",84.24,21.96
"623",84.24,22.08
"624",84.24,22.2
"625",84.24,22.32
"647",84.36,21.48
"648",84.36,21.84
"649",84.36,21.96
"650",84.36,22.08
"651",84.36,22.2
"669",84.48,21.84
"670",84.48,22.08
"690",84.6,21.84
"691",84.6,21.96
"317",82.44,21.6
"318",82.44,21.72
"319",82.44,21.96
"320",82.44,22.08
"327",82.56,21.6
"283",82.08,21.84
"284",82.08,22.08
"297",82.2,21.84
"298",82.2,21.96
"312",82.32,21.96
"313",82.32,22.2
"321",82.44,22.8
"328",82.56,22.2
"329",82.56,22.8
"161",80.76,20.88
"174",80.88,21.24
"191",81,21.72
"216",81.24,21.72
"235",81.48,21.96
"236",81.48,22.2
"246",81.6,20.88
"247",81.6,21.6
"262",81.84,21
"263",81.84,21.72
"271",81.96,21
"272",81.96,21.72
"282",82.08,21.72
"294",82.2,20.52
"295",82.2,20.64
"296",82.2,21.6
"308",82.32,20.52
"309",82.32,20.64
"310",82.32,21.6
"311",82.32,21.72
