id,Longitude,Latitude
"153",82.68,22.44
"154",82.68,22.56
"155",82.68,22.68
"170",82.8,22.32
"171",82.8,22.44
"172",82.8,22.56
"173",82.8,22.68
"184",82.92,21.96
"199",83.16,21.48
"200",83.16,21.72
"201",83.16,21.84
"202",83.16,22.56
"217",83.28,21.48
"218",83.28,21.84
"219",83.28,21.96
"220",83.28,22.08
"221",83.28,22.44
"222",83.28,22.56
"242",83.4,21.72
"243",83.4,21.84
"244",83.4,21.96
"245",83.4,22.08
"246",83.4,22.2
"247",83.4,22.44
"248",83.4,22.56
"265",83.52,21.72
"266",83.52,21.84
"267",83.52,21.96
"268",83.52,22.08
"269",83.52,22.2
"270",83.52,22.44
"285",83.64,21.72
"286",83.64,21.84
"287",83.64,21.96
"288",83.64,22.08
"289",83.64,22.2
"311",83.76,21.6
"312",83.76,21.72
"313",83.76,21.84
"314",83.76,21.96
"315",83.76,22.08
"335",83.88,21.6
"336",83.88,21.72
"337",83.88,21.84
"338",83.88,21.96
"339",83.88,22.2
"340",83.88,22.56
"358",84,21.6
"359",84,21.72
"360",84,21.84
"361",84,21.96
"362",84,22.08
"363",84,22.2
"364",84,22.44
"387",84.12,21.72
"388",84.12,21.84
"389",84.12,21.96
"390",84.12,22.08
"391",84.12,22.2
"392",84.12,22.32
"413",84.24,21.6
"414",84.24,21.84
"415",84.24,21.96
"416",84.24,22.08
"417",84.24,22.2
"418",84.24,22.32
"439",84.36,21.48
"440",84.36,21.84
"441",84.36,21.96
"442",84.36,22.2
"466",84.48,21.84
"467",84.48,22.08
"492",84.6,21.84
"493",84.6,21.96
"144",82.44,21.6
"137",82.32,22.2
"138",82.32,22.92
"145",82.44,23.04
"148",82.56,22.56
"149",82.56,22.8
"150",82.56,22.92
"123",82.08,21.72
"128",82.2,20.52
"129",82.2,21.6
"135",82.32,21.6
"136",82.32,21.72
