id,Longitude,Latitude
"999",82.68,21.24
"1000",82.68,21.6
"1008",82.8,21.6
"1009",82.8,21.84
"1010",82.8,22.8
"1017",82.92,21.6
"1024",83.04,22.56
"1037",83.4,22.8
"1038",83.4,23.04
"1043",83.52,22.8
"1044",83.52,22.92
"1048",83.64,22.32
"1049",83.64,22.68
"1050",83.64,22.8
"1051",83.64,22.92
"1059",83.76,22.68
"1060",83.76,22.8
"1061",83.76,23.04
"1067",83.88,22.8
"1068",83.88,23.04
"1075",84,22.8
"1092",84.48,21.6
"1099",84.6,21.6
"979",82.44,20.88
"980",82.44,21
"981",82.44,21.12
"982",82.44,21.36
"983",82.44,21.84
"991",82.56,20.88
"992",82.56,21
"993",82.56,21.48
"939",82.08,22.68
"942",82.08,23.04
"954",82.2,22.56
"955",82.2,22.68
"956",82.2,22.8
"957",82.2,22.92
"958",82.2,23.16
"967",82.32,22.44
"968",82.32,22.56
"969",82.32,22.8
"970",82.32,23.4
"984",82.44,22.44
"716",80.52,20.76
"727",80.64,20.52
"728",80.64,20.64
"729",80.64,20.76
"730",80.64,20.88
"746",80.76,20.64
"747",80.76,21.12
"748",80.76,21.36
"764",80.88,20.88
"765",80.88,21.36
"766",80.88,21.48
"767",80.88,21.6
"768",80.88,21.72
"783",81,20.64
"784",81,20.88
"785",81,21.36
"799",81.12,20.4
"800",81.12,20.52
"801",81.12,20.88
"802",81.12,21.24
"803",81.12,21.48
"804",81.12,21.6
"805",81.12,22.08
"806",81.12,22.32
"817",81.24,20.4
"818",81.24,20.52
"819",81.24,20.64
"820",81.24,20.88
"821",81.24,21.24
"822",81.24,21.48
"823",81.24,21.6
"824",81.24,21.84
"825",81.24,22.32
"839",81.36,20.88
"840",81.36,21.24
"841",81.36,21.48
"842",81.36,21.6
"843",81.36,21.72
"844",81.36,22.44
"860",81.48,20.4
"861",81.48,20.52
"862",81.48,20.76
"863",81.48,21.12
"864",81.48,21.48
"865",81.48,21.6
"866",81.48,21.72
"867",81.48,22.44
"876",81.6,20.64
"877",81.6,21.12
"878",81.6,21.24
"879",81.6,21.48
"880",81.6,21.96
"881",81.6,22.08
"882",81.6,22.32
"895",81.72,20.52
"896",81.72,20.64
"897",81.72,21.12
"898",81.72,21.36
"899",81.72,21.96
"900",81.72,22.08
"901",81.72,22.44
"910",81.84,20.52
"911",81.84,20.76
"912",81.84,20.88
"913",81.84,21.24
"914",81.84,21.6
"915",81.84,22.08
"916",81.84,22.56
"923",81.96,20.76
"924",81.96,20.88
"925",81.96,21.36
"926",81.96,21.96
"927",81.96,22.56
"938",82.08,20.88
"952",82.2,21
"953",82.2,21.36
"966",82.32,20.88
"837",81.36,20.16
"838",81.36,20.28
"859",81.48,20.28
"937",82.08,20.04
